代碼,公司名,
2539,櫻花建,
2540,愛山林,
2542,興富發,
2543,皇昌,
2545,皇翔,
2546,根基,
2547,日勝生,
2548,華固,
2597,潤弘,
2601,益航,
2603,長榮,
2605,新興,
2606,裕民,
2607,榮運,
2608,嘉里大榮,
2609,陽明,
2610,華航,
2611,志信,
2612,中航,
2613,中櫃,
2614,東森,
2615,萬海,
2616,山隆,
2617,台航,
2618,長榮航,
2630,亞航,
2633,台灣高鐵,
2634,漢翔,
2636,台驊投控,
2637,慧洋-KY,
2642,宅配通,
2701,萬企,
2702,華園,
2704,國賓,
2705,六福,
2706,第一店,
2707,晶華,
2712,遠雄來,
2722,夏都,
2723,美食-KY,
2727,王品,
2731,雄獅,
2739,寒舍,
2748,雲品,
2801,彰銀,
2809,京城銀,
2812,台中銀,
2816,旺旺保,
2820,華票,
2823,中壽,
2832,台產,
2834,臺企銀,
2836,高雄銀,
2838,聯邦銀,
2841,台開,
2845,遠東銀,
2849,安泰銀,
2850,新產,
2851,中再保,
2852,第一保,
2855,統一證,
2856,元富證,
2867,三商壽,
2880,華南金,
2881,富邦金,
2882,國泰金,
2883,開發金,
2884,玉山金,
2885,元大金,
2886,兆豐金,
2887,台新金,
2888,新光金,
2889,國票金,
2890,永豐金,
2891,中信金,
2892,第一金,
2897,王道銀行,
2901,欣欣,
2903,遠百,
2904,匯僑,
2905,三商,
2906,高林,
2908,特力,
2910,統領,
2911,麗嬰房,
2912,統一超,
2913,農林,
2915,潤泰全,
2923,鼎固-KY,
2929,淘帝-KY,
2936,客思達-KY,
2939,凱羿-KY,
3002,歐格,
3003,健和興,
3004,豐達科,
3005,神基,
3006,晶豪科,
3008,大立光,
3010,華立,
3011,今皓,
3013,晟銘電,
3014,聯陽,
3015,全漢,
3016,嘉晶,
3017,奇鋐,
3018,同開,
3019,亞光,
3021,鴻名,
3022,威強電,
3023,信邦,
3024,憶聲,
3025,星通,
3026,禾伸堂,
3027,盛達,
3028,增你強,
3029,零壹,
3030,德律,
3031,佰鴻,
3032,偉訓,
3033,威健,
3034,聯詠,
3035,智原,
3036,文曄,
3037,欣興,
3038,全台,
3040,遠見,
3041,揚智,
3042,晶技,
3043,科風,
3044,健鼎,
3045,台灣大,
3046,建碁,
3047,訊舟,
3048,益登,
3049,和鑫,
3050,鈺德,
3051,力特,
3052,夆典,
3054,立萬利,
3055,蔚華科,
3056,總太,
3057,喬鼎,
3058,立德,
3059,華晶科,
3060,銘異,
3062,建漢,
3090,日電貿,
3094,聯傑,
3130,一零四,
3149,正達,
3164,景岳,
3167,大量,
3189,景碩,
3209,全科,
3229,晟鈦,
3231,緯創,
3257,虹冠電,
3266,昇陽,
3296,勝德,
3305,昇貿,
3308,聯德,
3311,閎暉,
3312,弘憶股,
3321,同泰,
3338,泰碩,
3346,麗清,
3356,奇偶,
3376,新日興,
3380,明泰,
3383,新世紀,
3406,玉晶光,
3413,京鼎,
3416,融程電,
3419,譁裕,
3432,台端,
3437,榮創,
3443,創意,
3450,聯鈞,
3454,晶睿,
3481,群創,
3494,誠研,
3501,維熹,
3504,揚明光,
3514,昱晶,
3515,華擎,
3518,柏騰,
3519,綠能,
3528,安馳,
3530,晶相光,
3532,台勝科,
3533,嘉澤,
3535,晶彩科,
3536,誠創,
3545,敦泰,
3550,聯穎,
3557,嘉威,
3561,昇陽光電,
3576,新日光,
3579,尚志,
3583,辛耘,
3588,通嘉,
3591,艾笛森,
3593,力銘,
3596,智易,
3605,宏致,
3607,谷崧,
3617,碩天,
3622,洋華,
3645,達邁,
3653,健策,
3661,世芯-KY,
3665,貿聯-KY,
3669,圓展,
3673,TPK-KY,
3679,新至陞,
3682,亞太電,
3686,達能,
3694,海華,
3698,隆達,
3701,大眾控,
3702,大聯大,
3703,欣陸,
3704,合勤控,
3705,永信,
3706,神達,
3708,上緯投控,
3711,日月光投控,
4104,佳醫,
4106,雃博,
4108,懷特,
4119,旭富,
4133,亞諾法,
4137,麗豐-KY,
4141,龍燈-KY,
4142,國光生,
4144,康聯-KY,
4148,全宇生技-KY,
4155,訊映,
4164,承業醫,
4190,佐登-KY,
4306,炎洲,
4414,如興,
4426,利勤,
4438,廣越,
4526,東台,
4532,瑞智,
4536,拓凱,
4545,銘鈺,
4551,智伸科,
4552,力達-KY,
4555,氣立,
4557,永新-KY,
4560,強信-KY,
4562,穎漢,
4566,時碩工業,
4720,德淵,
4722,國精化,
4725,信昌化,
4737,華廣,
4739,康普,
4746,台耀,
4755,三福化,
4763,材料-KY,
4764,雙鍵,
4807,日成-KY,
4904,遠傳,
4906,正文,
4912,聯德控股-KY,
4915,致伸,
4916,事欣科,
4919,新唐,
4927,泰鼎-KY,
4930,燦星網,
4934,太極,
4935,茂林-KY,
4938,和碩,
4942,嘉彰,
4943,康控-KY,
4952,凌通,
4956,光鋐,
4958,臻鼎-KY,
4960,奇美材,
4968,立積,
4976,佳凌,
4977,眾達-KY,
4984,科納-KY,
4989,榮科,
4994,傳奇,
4999,鑫禾,
5007,三星,
5203,訊連,
5215,科嘉-KY,
5225,東科-KY,
5234,達興材料,
5243,乙盛-KY,
5258,虹堡,
5259,清惠,
5264,鎧勝-KY,
5269,祥碩,
5284,jpp-KY,
5285,界霖,
5288,豐祥-KY,
5305,敦南,
5388,中磊,
5434,崇越,
5469,瀚宇博,
5471,松翰,
5484,慧友,
5515,建國,
5519,隆大,
5521,工信,
5522,遠雄,
5525,順天,
5531,鄉林,
5533,皇鼎,
5534,長虹,
5538,東明-KY,
5607,遠雄港,
5608,四維航,
5706,鳳凰,
5871,中租-KY,
5880,合庫金,
5906,台南-KY,
5907,大洋-KY,
6005,群益證,
6024,群益期,
6108,競國,
6112,聚碩,
6115,鎰勝,
6116,彩晶,
6117,迎廣,
6120,達運,
6128,上福,
6131,悠克,
6133,金橋,
6136,富爾特,
6139,亞翔,
6141,柏承,
6142,友勁,
6145,勁永,
6152,百一,
6153,嘉聯益,
6155,鈞寶,
6164,華興,
6165,捷泰,
6166,凌華,
6168,宏齊,
6172,互億,
6176,瑞儀,
6177,達麗,
6183,關貿,
6184,大豐電,
6189,豐藝,
6191,精成科,
6192,巨路,
6196,帆宣,
6197,佳必琪,
6201,亞弘電,
6202,盛群,
6205,詮欣,
6206,飛捷,
6209,今國光,
6213,聯茂,
6214,精誠,
6215,和椿,
6216,居易,
6224,聚鼎,
6225,天瀚,
6226,光鼎,
6230,超眾,
6235,華孚,
6239,力成,
6243,迅杰,
6251,定穎,
6257,矽格,
6269,台郡,
6271,同欣電,
6277,宏正,
6278,台表科,
6281,全國電,
6282,康舒,
6283,淳安,
6285,啟碁,
6288,聯嘉,
6289,華上,
6405,悅城,
6409,旭隼,
6412,群電,
6414,樺漢,
6415,矽力-KY,
6416,瑞祺電通,
6422,君耀-KY,
6431,光麗-KY,
6442,光聖,
6443,元晶,
6449,鈺邦,
6451,訊芯-KY,
6452,康友-KY,
6456,GIS-KY,
6464,台數科,
6477,安集,
6504,南六,
6505,台塑化,
6525,捷敏-KY,
6531,愛普,
6533,晶心科,
6541,泰福-KY,
6552,易華電,
6573,虹揚-KY,
6579,研揚,
6581,鋼聯,
6582,申豐,
6591,動力-KY,
6605,帝寶,
6625,必應,
8011,台通,
8016,矽創,
8021,尖點,
8028,昇陽半導體,
8033,雷虎,
8039,台虹,
8046,南電,
8070,長華,
8072,陞泰,
8081,致新,
8101,華冠,
8103,瀚荃,
8105,凌巨,
8110,華東,
8112,至上,
8114,振樺電,
8131,福懋科,
8150,南茂,
8163,達方,
8201,無敵,
8210,勤誠,
8213,志超,
8215,明基材,
8222,寶一,
8249,菱光,
8261,富鼎,
8271,宇瞻,
8341,日友,
8374,羅昇,
8404,百和興業-KY,
8411,福貞-KY,
8422,可寧衛,
8427,基勝-KY,
8429,金麗-KY,
8442,威宏-KY,
8443,阿瘦,
8454,富邦媒,
8463,潤泰材,
8464,億豐,
8466,美?-KY,
8467,波力-KY,
8473,山林水,
8478,東哥遊艇,
8480,泰昇-KY,
8481,政伸,
8488,吉源-KY,
8497,聯廣,
8499,鼎炫-KY,
8926,台汽電,
8940,新天地,
8996,高力,
9802,鈺齊-KY,
9902,台火,
9904,寶成,
9905,大華,
9906,欣巴巴,
9907,統一實,
9908,大台北,
9910,豐泰,
9911,櫻花,
9912,偉聯,
9914,美利達,
9917,中保,
9918,欣天然,
9919,康那香,
9921,巨大,
9924,福興,
9925,新保,
9926,新海,
9927,泰銘,
9928,中視,
9929,秋雨,
9930,中聯資源,
9931,欣高,
9933,中鼎,
9934,成霖,
9935,慶豐富,
9937,全國,
9938,百和,
9939,宏全,
9940,信義,
9941,裕融,
9942,茂順,
9943,好樂迪,
9944,新麗,
9945,潤泰新,
9946,三發地產,
9955,佳龍,
9958,世紀鋼,
上市認購(售)權證,,
03001X,元展01,
03003X,元展03,
03004X,元展04,
03005X,元展05,
03006X,元展06,
03007X,元展07,
03009X,元展09,
03010X,元展10,
03012X,元展12,
03013X,元展13,
03014X,元展14,
03015X,元展15,
03016X,元展16,
03017X,元展17,
03018X,元展18,
03019X,元展19,
03020X,元展20,
03021X,元展21,
03022X,富展01,
03023X,富展02,
03024X,富展03,
03025X,元展22,
03026X,元展23,
03027X,元展24,
03028X,元展25,
03029X,元展26,
03032X,元展29,
03033X,元展30,
03035X,元展32,
03038X,元展35,
03039X,元展36,
03040X,元展37,
03044X,元展41,
03046X,元展43,
03047X,元展44,
03049X,元展46,
03050X,元展47,
03051X,元展48,
03052X,元展49,
03053X,元展50,
03054X,元展51,
03055X,元展52,
03058X,元展53,
03059X,元展54,
03060X,元展55,
03061X,元展56,
03063X,元展58,
03064X,元展59,
03065X,元展60,
03066X,元展61,
03068X,元展63,
03069X,元展64,
03071X,元展66,
03072X,元展67,
03073X,元展68,
03074X,元展69,
03075X,元展70,
03076X,元展71,
03077X,元展72,
03078X,元展73,
03080X,元展75,
03081X,元展76,
03082X,富展04,
03083X,元展77,
03085X,元展79,
03087X,元展81,
03088X,元展82,
03089X,元展83,
03090X,元展84,
03091X,元展85,
03092X,元展86,
03093X,永豐金元大61展01,
03094X,大立光元大68展08,
03095X,佳世達元大6B展02,
03337B,臺股指元富79熊02,
03341B,臺股指元大79熊03,
03342B,臺股指兆豐78熊07,
03343B,臺股指元大7A熊01,
03345B,金融類元大79熊03,
03346B,臺股指元大7B熊01,
03347B,臺股指元大79熊04,
03348B,臺股指元大79熊26,
03349B,臺股指元大79熊27,
03350B,臺股指元大7C熊01,
03351B,金融類元大7C熊01,
03352B,臺股指凱基79熊12,
03353B,臺股指元大7A熊10,
03354B,臺股指元大81熊01,
03355B,臺股指元大7A熊11,
03356B,臺股指元大83熊02,
03357B,臺股指元大7B熊21,
03358B,臺股指元富7C熊06,
03359B,臺股指凱基7C熊04,
03360B,臺股指凱基81熊07,
03361B,臺股指元大81熊33,
03362B,臺股指元大84熊03,
03536C,臺股指元富79牛01,
03539C,T50反1元富81牛01,
03540C,臺股指兆豐78牛06,
03543C,臺股指元大83牛01,
03544C,臺股指元大84牛01,
03546C,金融類元大84牛01,
03547C,上証2X元富81牛01,
03548C,臺股指凱基81牛01,
03549C,南亞元富7B牛01,
03550C,南亞元富7C牛01,
03552C,開發金元富7C牛01,
03553C,臺股指元富7C牛05,
03554C,臺股指元大84牛02,
03555C,臺股指元大86牛01,
03556C,臺股指凱基7C牛03,
03557C,臺股指元大81牛14,
03558C,滬深2X元富87牛01,
03559C,滬深2X元大84牛01,
03560C,滬深2X元富84牛03,
03561C,臺股指元大7C牛12,
03562C,臺股指元大82牛01,
03563C,T50反1凱基82牛03,
03564C,長虹元富82牛01,
04849P,上証反凱基79售01,
05041P,臺股指元大79售01,
05042P,金融類元大79售01,
05505P,大立光國泰7A售02,
05509P,大立光富邦78售04,
05510P,大立光富邦78售05,
05690P,華通國泰78售02,
05701P,大立光中信78售01,
05702P,大立光中信79售02,
05774P,鴻海台新78售02,
05813P,鴻海元大78售01,
05876P,T50反1元大79售01,
05889P,台積電統一78售02,
05922P,大立光富邦79售01,
59368,台積電統一78購01,
05959P,T50正2日盛7A售01,
05969P,台積電第一79售01,
05999P,鴻海兆豐78售02,
06005P,T50反1元大79售02,
06019P,T50正2統一79售01,
06031P,鴻海台新78售03,
06038P,聯電台新78售02,
06068P,T50正2元大7C售01,
06075P,大立光中信78售04,
06082P,大立光國泰79售02,
06085P,大立光富邦79售03,
06086P,大立光富邦79售04,
06100P,聯發科中信79售01,
06106P,鴻海富邦79售01,
06107P,鴻海富邦79售02,
06110P,大立光富邦79售05,
06136P,台灣50日盛79售01,
06142P,大立光凱基78售02,
06177P,大同中信78售02,
06184P,創意國泰79售02,
06189P,台灣50中信7C售03,
06199P,創意國泰79售03,
06207P,台灣50統一78售01,
06212P,美律日盛78售01,
06225P,台灣50兆豐79售01,
06256P,上銀台新79售01,
06262P,電子類元大7B售01,
06263P,電子類元大7B售02,
06265P,凌巨元富7B售01,
06271P,聯發科中信79售03,
06279P,台郡富邦79售01,
06282P,宏全元富7A售02,
06297P,美律富邦7A售01,
06301P,台積電兆豐79售01,
06340P,台灣50中信81售02,
06373P,大立光中信79售03,
06376P,華通玉山79售01,
06379P,大立光富邦79售08,
06380P,大立光富邦79售09,
06384P,上銀台新78售04,
06386P,滬深2X群益78售04,
06406P,大立光台新79售02,
06410P,大立光兆豐78售04,
06411P,大立光兆豐78售05,
06412P,臺股指兆豐78售03,
06413P,臺股指兆豐78售04,
06414P,臺股指兆豐78售05,
06419P,臺股指群益78售04,
06420P,臺股指群益78售05,
06421P,臺股指群益78售06,
06422P,臺股指群益78售07,
06423P,臺股指群益78售08,
06424P,臺股指群益78售09,
06425P,電子類群益78售02,
06426P,金融類群益78售02,
06429P,大立光元大78售02,
06432P,台積電統一78售05,
06441P,鴻海兆豐79售03,
06442P,臺股指康和7A售01,
06445P,大同元大78售02,
64488,T50反1永昌78購01,
64520,T50反1國泰78購01,
06453P,臻鼎凱基78售02,
06454P,臺股指麥證7A售03,
06455P,臺股指麥證7A售04,
06456P,禾伸堂群益78售01,
64720,玉晶光元富78購01,
64721,玉晶光元富78購02,
06473P,台灣50統一7A售01,
06492P,微星中信79售02,
06501P,上銀中信78售02,
06506P,臺股指麥證7B售02,
06509P,台灣50元大79售01,
06510P,T50反1元大79售04,
06513P,臺股指中信7A售01,
06514P,臺股指中信7A售02,
06515P,臺股指中信7A售03,
65160,上証反凱基79購02,
06516P,台積電台新78售03,
06518P,台灣50元富79售01,
65215,滬深2X永昌79購01,
65216,深100永昌79購01,
06523P,TPK兆豐78售03,
06532P,台灣50日盛78售01,
06533P,T50反1日盛78售01,
65361,新光金富邦79購01,
06541P,中石化中信78售01,
65497,T50反1台新79購01,
06553P,全新國泰78售02,
06555P,宏達電國泰79售01,
06560P,臺指2X群益78售01,
06561P,台灣50兆豐79售02,
06565P,大同台新78售02,
06566P,美律台新78售02,
06578P,台灣50永豐78售01,
06582P,台積電群益78售03,
06585P,大立光富邦79售12,
06590P,臺指2X群益78售02,
06599P,台積電永昌7A售02,
06603P,台灣50台新78售02,
06604P,玉晶光台新78售02,
06606P,台積電兆豐78售05,
66091,臺股指元大79購02,
66092,金融類元大79購02,
06618P,美律群益78售01,
06622P,華通台新78售01,
06623P,聯發科台新78售04,
06624P,亞光台新78售03,
06625P,新唐台新78售02,
66294,臺指反中信79購01,
06630P,鴻海富邦7A售01,
06633P,台積電統一78售06,
66367,新光金兆豐79購01,
06640P,台灣50台新7B售01,
06641P,友達台新79售01,
06652P,FBVIX統一79售02,
06658P,台積電群益79售02,
06664P,臺股指元大7A售02,
06665P,臺股指元大7A售03,
66681,T50反1兆豐7A購01,
06674P,FBVIX台新7B售01,
06675P,GIS台新79售02,
06678P,台積電中信79售01,
06679P,台積電中信79售02,
06683P,鴻海兆豐79售04,
06687P,FBVIX群益79售01,
06688P,美指2X群益79售02,
06691P,微星統一79售02,
06699P,聯電富邦79售02,
06700P,台灣50凱基79售01,
67048,T50反1康和7A購01,
06707P,電子類元大82售01,
06708P,國巨群益79售01,
06711P,TPK台新79售01,
06712P,技嘉富邦79售01,
06713P,臺指2X統一7B售01,
06719P,友達康和81售02,
06722P,群創康和7C售01,
67251,T50反1中信78購02,
67252,T50反1中信7A購01,
06725P,大立光永昌7A售02,
06726P,FBVIX台新7C售02,
06727P,元油2X群益7C售01,
06729P,大同群益79售01,
06731P,大立光群益79售02,
06744P,鴻海群益79售01,
06745P,禾伸堂群益79售02,
67477,T50反1兆豐7A購02,
06748P,GIS國泰79售02,
06749P,GIS國泰79售03,
06750P,台灣50凱基79售02,
06751P,臺股指凱基79售01,
06752P,台積電元富78售04,
06753P,台積電元富78售05,
67547,晶電中信78購01,
06754P,嘉澤康和78售01,
06755P,臺股指康和7B售01,
06756P,臺股指康和7B售02,
06757P,臺股指康和7B售03,
06758P,臺股指康和7B售04,
06759P,臺股指康和7B售05,
06760P,聯發科群益78售04,
06761P,玉晶光群益78售04,
06762P,智原台新78售03,
06763P,台灣50元大78售03,
06764P,臺股指元大79售05,
06765P,臺股指元大79售07,
06766P,台灣50凱基79售03,
06767P,元油2X凱基78售01,
06768P,聯鈞凱基78售03,
06769P,聯發科富邦7A售02,
06770P,GIS凱基78售03,
06771P,台塑日盛78售01,
06772P,臺股指日盛78售01,
06773P,臺股指日盛78售02,
06774P,聯發科元大78售07,
06775P,TPK元大78售02,
06776P,GIS元大78售08,
06777P,可成群益78售04,
06778P,台灣50中信82售01,
06779P,臺股指中信7A售07,
06780P,鴻海元富78售02,
06781P,華邦電元富78售02,
06782P,華邦電康和78售04,
06783P,T50反1富邦7A售02,
06784P,南亞科富邦79售02,
06785P,元油2X元富78售01,
06786P,臺股指統一7B售02,
06787P,臺股指統一7B售03,
06788P,臺股指統一7B售04,
67893,大立光國泰7A購01,
06789P,可成中信78售02,
67903,大立光富邦78購01,
67904,大立光富邦78購02,
67905,大立光富邦78購03,
06790P,台灣50永豐78售02,
06791P,臺股指永豐78售01,
06792P,臺股指富邦7B售05,
06793P,臺股指富邦7B售06,
06794P,臺股指富邦7B售07,
06795P,臺股指富邦7B售08,
06796P,T50反1元大78售03,
06797P,台積電元大78售05,
67982,晶電中信78購02,
06798P,台積電元大78售06,
06799P,台積電元大78售08,
06800P,台積電元大78售09,
06801P,智原元大78售03,
06802P,臺股指麥證78售04,
06803P,臺股指麥證78售05,
06804P,亞光中信78售02,
06805P,臺股指中信7A售09,
06806P,欣興群益78售04,
06807P,GIS群益78售02,
06808P,大同康和78售02,
68093,新唐富邦7A購01,
06809P,台郡康和78售01,
06810P,國巨元大78售05,
06811P,鎧勝元大78售03,
06812P,南亞科富邦78售04,
06813P,可成富邦7A售01,
06814P,臺股指凱基79售05,
06815P,國喬日盛78售01,
06816P,台灣50中信7B售01,
06817P,臺股指中信7A售10,
06818P,智原群益78售03,
06819P,台灣50兆豐7B售01,
06820P,可成兆豐78售04,
06821P,貿聯兆豐78售01,
06822P,美律元大78售06,
06823P,大立光元大78售09,
06824P,大立光元大78售13,
06825P,大立光元大78售14,
06826P,大立光元大78售15,
06827P,台灣50永豐79售02,
06828P,和大富邦78售01,
06829P,美律富邦7C售01,
06830P,大立光統一78售04,
06831P,台灣50元富79售02,
06832P,大同康和78售03,
68339,晶電中信7B購01,
06833P,玉晶光群益79售01,
06834P,大立光永豐78售01,
06835P,鴻海台新79售03,
06836P,台灣50元大78售04,
06837P,致茂元大78售02,
06838P,大同元大78售05,
06839P,GIS元大78售09,
06840P,臺股指元大79售09,
06841P,臺股指元大79售10,
06842P,臺股指元大79售11,
06843P,中石化富邦79售01,
06844P,台灣50統一79售01,
06845P,和大元富78售02,
06846P,晶電元富78售03,
06847P,台積電群益7A售01,
06848P,美律群益7A售01,
06849P,義隆群益7A售01,
06850P,可成群益78售06,
06851P,國巨中信78售03,
06852P,台積電凱基78售02,
68532,晶電中信79購01,
06853P,台積電凱基78售03,
06854P,大立光凱基78售06,
06855P,大立光凱基78售07,
68560,滬深2X元富7B購01,
06856P,台積電台新7A售03,
06857P,台灣50元大78售05,
06858P,技嘉元大78售04,
68597,滬深2X中信78購01,
68598,晶電中信7B購02,
06859P,新光金元大78售02,
06860P,宏達電元富78售02,
06861P,玉晶光元富78售04,
06862P,嘉澤元富78售02,
06863P,大立光富邦78售08,
06864P,大立光富邦7A售04,
06865P,大立光富邦7A售05,
68668,可成玉山78購01,
06866P,大立光富邦7B售02,
68670,華通國泰79購01,
06867P,大立光富邦7B售03,
06868P,上銀群益7A售01,
06869P,大同群益79售02,
06870P,聯發科群益79售02,
06871P,台灣50凱基79售04,
68726,可成台新78購01,
06872P,致茂日盛79售01,
06873P,GIS中信7B售02,
06874P,臺股指中信7B售02,
06875P,臺股指康和7A售10,
68762,晶電群益78購01,
68768,宏碁中信78購01,
06876P,臺股指康和7A售11,
68771,大立光中信79購01,
68773,智原台新78購01,
06877P,臺股指康和7A售12,
06878P,臺股指康和7A售13,
